hour,lead_time_hours,variable,models_reporting,providers_reporting,model_spread,provider_spread
2026-08-06T08:00,80,swell_wave_period,4,3,2.70,2.70
2026-08-06T08:00,80,swell_wave_direction,4,3,46.00,45.00
2026-08-06T09:00,81,swell_wave_height,4,3,1.02,1.02
2026-08-06T09:00,81,swell_wave_period,4,3,2.65,2.65
2026-08-06T09:00,81,swell_wave_direction,4,3,47.00,46.00
2026-08-06T10:00,82,swell_wave_height,4,3,1.04,1.03
2026-08-06T10:00,82,swell_wave_period,4,3,2.65,2.62
2026-08-06T10:00,82,swell_wave_direction,4,3,47.00,46.00
2026-08-06T11:00,83,swell_wave_height,4,3,0.90,0.85
2026-08-06T11:00,83,swell_wave_period,4,3,2.20,1.98
2026-08-06T11:00,83,swell_wave_direction,4,3,25.00,11.50
2026-08-06T12:00,84,swell_wave_height,4,3,1.02,1.01
2026-08-06T12:00,84,swell_wave_period,4,3,2.65,2.65
2026-08-06T12:00,84,swell_wave_direction,4,3,48.00,47.00
2026-08-06T13:00,85,swell_wave_height,4,3,0.88,0.83
2026-08-06T13:00,85,swell_wave_period,4,3,2.20,1.98
2026-08-06T13:00,85,swell_wave_direction,4,3,26.00,13.00
2026-08-06T14:00,86,swell_wave_height,4,3,0.78,0.75
2026-08-06T14:00,86,swell_wave_period,4,3,1.75,1.73
2026-08-06T14:00,86,swell_wave_direction,4,3,10.00,9.50
2026-08-06T15:00,87,swell_wave_height,4,3,0.84,0.79
2026-08-06T15:00,87,swell_wave_period,4,3,2.15,1.95
2026-08-06T15:00,87,swell_wave_direction,4,3,26.00,12.00
2026-08-06T16:00,88,swell_wave_height,4,3,0.94,0.93
2026-08-06T16:00,88,swell_wave_period,4,3,2.60,2.58
2026-08-06T16:00,88,swell_wave_direction,4,3,48.00,47.00
2026-08-06T17:00,89,swell_wave_height,4,3,0.90,0.89
2026-08-06T17:00,89,swell_wave_period,4,3,2.50,2.50
2026-08-06T17:00,89,swell_wave_direction,4,3,49.00,48.00
2026-08-06T18:00,90,swell_wave_height,4,3,0.86,0.86
2026-08-06T18:00,90,swell_wave_period,4,3,2.35,2.35
2026-08-06T18:00,90,swell_wave_direction,4,3,50.00,49.00
2026-08-06T19:00,91,swell_wave_height,4,3,0.82,0.82
2026-08-06T19:00,91,swell_wave_period,4,3,2.45,2.43
2026-08-06T19:00,91,swell_wave_direction,4,3,52.00,51.00
2026-08-06T20:00,92,swell_wave_height,4,3,0.86,0.86
2026-08-06T20:00,92,swell_wave_period,4,3,3.15,3.12
2026-08-06T20:00,92,swell_wave_direction,4,3,46.00,45.00
2026-08-06T21:00,93,swell_wave_height,4,3,0.92,0.91
2026-08-06T21:00,93,swell_wave_period,4,3,3.95,3.87
2026-08-06T21:00,93,swell_wave_direction,4,3,43.00,41.50
2026-08-06T22:00,94,swell_wave_height,4,3,0.96,0.95
2026-08-06T22:00,94,swell_wave_period,4,3,4.45,4.40
2026-08-06T22:00,94,swell_wave_direction,4,3,43.00,41.50
2026-08-06T23:00,95,swell_wave_height,4,3,0.98,0.97
2026-08-06T23:00,95,swell_wave_period,4,3,4.60,4.55
2026-08-06T23:00,95,swell_wave_direction,4,3,45.00,44.50
2026-08-07T00:00,96,swell_wave_height,4,3,1.00,0.99
2026-08-07T00:00,96,swell_wave_period,4,3,4.05,4.05
2026-08-07T00:00,96,swell_wave_direction,4,3,45.00,44.50
2026-08-07T01:00,97,swell_wave_height,4,3,1.00,0.99
2026-08-07T01:00,97,swell_wave_period,4,3,3.75,3.72
2026-08-07T01:00,97,swell_wave_direction,4,3,46.00,45.00
2026-08-07T02:00,98,swell_wave_height,4,3,1.02,0.96
2026-08-07T02:00,98,swell_wave_period,4,3,3.75,3.75
2026-08-07T02:00,98,swell_wave_direction,4,3,45.00,29.50
2026-08-07T03:00,99,swell_wave_height,4,3,1.04,0.99
2026-08-07T03:00,99,swell_wave_period,4,3,3.90,3.88
2026-08-07T03:00,99,swell_wave_direction,4,3,47.00,31.00
2026-08-07T04:00,100,swell_wave_height,4,3,1.04,1.04
2026-08-07T04:00,100,swell_wave_period,4,3,4.20,4.20
2026-08-07T04:00,100,swell_wave_direction,4,3,47.00,46.50
2026-08-07T05:00,101,swell_wave_height,4,3,0.58,0.13
2026-08-07T05:00,101,swell_wave_period,4,3,3.20,2.73
2026-08-07T05:00,101,swell_wave_direction,4,3,26.00,10.00
2026-08-07T06:00,102,swell_wave_height,4,3,0.58,0.15
2026-08-07T06:00,102,swell_wave_period,4,3,3.25,2.80
2026-08-07T06:00,102,swell_wave_direction,4,3,26.00,11.00
2026-08-07T07:00,103,swell_wave_height,4,3,0.56,0.16
2026-08-07T07:00,103,swell_wave_period,4,3,3.25,2.80
2026-08-07T07:00,103,swell_wave_direction,4,3,26.00,11.00
2026-08-07T08:00,104,swell_wave_height,4,3,1.02,1.01
2026-08-07T08:00,104,swell_wave_period,4,3,4.10,4.05
2026-08-07T08:00,104,swell_wave_direction,4,3,49.00,49.00
2026-08-07T09:00,105,swell_wave_height,4,3,1.00,0.99
2026-08-07T09:00,105,swell_wave_period,4,3,4.10,4.05
2026-08-07T09:00,105,swell_wave_direction,4,3,49.00,48.50
2026-08-07T10:00,106,swell_wave_height,4,3,0.98,0.98
2026-08-07T10:00,106,swell_wave_period,4,3,4.10,4.05
2026-08-07T10:00,106,swell_wave_direction,4,3,49.00,49.00
2026-08-07T11:00,107,swell_wave_height,4,3,0.96,0.96
2026-08-07T11:00,107,swell_wave_period,4,3,4.05,4.05
2026-08-07T11:00,107,swell_wave_direction,4,3,51.00,50.50
2026-08-07T12:00,108,swell_wave_height,4,3,0.94,0.94
2026-08-07T12:00,108,swell_wave_period,4,3,3.85,3.85
2026-08-07T12:00,108,swell_wave_direction,4,3,56.00,55.00
2026-08-07T13:00,109,swell_wave_height,4,3,0.92,0.65
2026-08-07T13:00,109,swell_wave_period,4,3,3.65,3.17
2026-08-07T13:00,109,swell_wave_direction,4,3,59.00,46.00
2026-08-07T14:00,110,swell_wave_height,4,3,0.88,0.88
2026-08-07T14:00,110,swell_wave_period,4,3,3.45,3.42
